valence_type,parameter_name,unit,n_parameter_ids,rms_std_dev,rms_normalised_std_dev
Angles,angle,radian,48,0.03816139262700051,0.018412310930558975
Angles,k,kilocalories_per_mole / radian ** 2,48,6.1206368865660306,0.06430708981806912
Bonds,k,kilocalories_per_mole / angstrom ** 2,30,14.531772189078678,0.020005791092568784
Bonds,length,angstrom,30,0.0018757411668126936,0.00136924182298574
ImproperTorsions,k1,kilocalorie / mole,13,0.5088861720714816,0.3497502828422211
ProperTorsions,k1,kilocalorie / mole,62,0.07972384076849175,0.6931482233520581
ProperTorsions,k2,kilocalorie / mole,62,0.06705829708197386,0.21941691274698769
ProperTorsions,k3,kilocalorie / mole,62,0.06598272219172525,0.7748519623375167
ProperTorsions,k4,kilocalorie / mole,62,0.0736509086761726,0.7889323039817819
