target,ff,level,metric,mle,mean,ci_low,ci_high
cdk2,presto,DDG,MUE,0.7462082946608379,0.800431128412709,0.5910786656446129,1.0175716746822907
cdk2,presto,DDG,RMSE,0.922138414816601,0.9637452372075747,0.7430679402135021,1.1977183222950907
cdk2,presto,DG,MUE,0.5326899673253349,0.5463126306250915,0.3695469526879011,0.7536665886606838
cdk2,presto,DG,RMSE,0.6516868651334498,0.6617297349347792,0.44703214361999966,0.9090018078612382
cdk2,presto,DG,KTAU,0.6166666666666666,0.6010931023605691,0.31770218565805997,0.8030801296907114
cdk2,presto,DG,R2,0.7716332058423461,0.7514522356998419,0.4733438158913486,0.9278906944953278
cdk2,default,DDG,MUE,0.7220338920809732,0.826773363227019,0.5955304201836664,1.0834204069567057
cdk2,default,DDG,RMSE,0.8934486045281909,1.027909969533286,0.7466821940034187,1.3271363280195654
cdk2,default,DG,MUE,0.535796434199145,0.5808865115542352,0.34463487601605175,0.8668540920926981
cdk2,default,DG,RMSE,0.7346234405777413,0.781105112118293,0.4285612286117435,1.1233914682864357
cdk2,default,DG,KTAU,0.6833333333333333,0.6449236038611356,0.32489314482696546,0.8453303101943839
cdk2,default,DG,R2,0.8368593230195548,0.8068360439047173,0.5715837953363718,0.9486814086927892
jnk1,presto,DDG,MUE,0.7518893004476116,0.783117732587044,0.5896383358304707,1.0028995794367956
jnk1,presto,DDG,RMSE,0.9358930769089182,0.9746439616815009,0.7390234379754349,1.2236158160840482
jnk1,presto,DG,MUE,0.9518377120384023,0.9567751971926663,0.7434041382456745,1.1743278030052107
jnk1,presto,DG,RMSE,1.0656646817902384,1.0739329963007298,0.8517530356977272,1.2928297927266335
jnk1,presto,DG,KTAU,0.7207657759035386,0.6848846967299627,0.485528433256216,0.8420510603012538
jnk1,presto,DG,R2,0.7416671063226081,0.7363375421931024,0.5103152980224086,0.8884641677869181
jnk1,default,DDG,MUE,0.8266432338918781,0.8457667916884241,0.6087370796786382,1.0928922125635152
jnk1,default,DDG,RMSE,1.0594108306310992,1.0812881576672364,0.8192345870943609,1.3427738108508749
jnk1,default,DG,MUE,1.005325506763324,1.0045031949526797,0.8023743960024445,1.2149954739384337
jnk1,default,DG,RMSE,1.1004140297538543,1.1080635596903023,0.8913543928145979,1.3206974814282808
jnk1,default,DG,KTAU,0.6443932433574683,0.6160621562231021,0.39036002917941326,0.8112361020178507
jnk1,default,DG,R2,0.6478669748101133,0.6497406835385126,0.40170199382562227,0.8595026854081455
tyk2,presto,DDG,MUE,0.7178875915064409,0.7589055551971874,0.5172947680621018,1.0499476424635756
tyk2,presto,DDG,RMSE,0.9732742609746176,0.9962498077344875,0.644113172368381,1.4081542917648777
tyk2,presto,DG,MUE,0.5186684462101352,0.5458996358483802,0.284744462874454,0.8838146957308558
tyk2,presto,DG,RMSE,0.80471278493113,0.7891343703477117,0.3807237464318095,1.256645544112468
tyk2,presto,DG,KTAU,0.7333333333333334,0.7021830007382887,0.444559086601789,0.884519435212385
tyk2,presto,DG,R2,0.8929705735663056,0.8953585162634994,0.8153045978289799,0.954295369170786
tyk2,default,DDG,MUE,0.7157859488315078,0.7296356494250223,0.5538457600880364,0.9214981280567226
tyk2,default,DDG,RMSE,0.8448927666641574,0.8566757614915276,0.6538609066890776,1.0739665520472588
tyk2,default,DG,MUE,0.46388649762838163,0.46850532751147494,0.27804662142089587,0.6705078274450031
tyk2,default,DG,RMSE,0.6131926879951538,0.6109773880730182,0.3908867516151562,0.814509017633716
tyk2,default,DG,KTAU,0.6333333333333333,0.646074753444707,0.3552480840218582,0.8427439654511611
tyk2,default,DG,R2,0.7728522620964592,0.7640753412991453,0.5156368817647711,0.9109259441826117
