method,n_conformers,n_molecules,r2,kendall_tau,rmse_kcal_mol,js_distance_500k,mae_kcal_mol,mean_rmsd_angstrom,rms_rmsd_angstrom
mp2,788,80,0.964071837932644,0.867420455498294,0.3261443083977184,0.13869419475491768,0.18712908407092177,,
wb97,808,82,0.9615052074737662,0.8109058117707681,0.3022179780099469,0.2210382104255416,0.2070558844741247,,
ani2,698,71,0.5066378804073681,0.4856877407472878,1.3039580600968534,0.6182618087010537,0.8042303826770885,,
benchmarking/folmsbee_conformers/output/phosphate_sulphonamide/aimnet2_no_msm_no_min/combined_force_field.offxml,807,82,0.44935917320537133,0.49260964082885184,1.2498312728421446,0.7054524646697177,0.6855717827304311,0.18468261855759194,0.20917954355138338
input_ff/openff_unconstrained-2.3.0.offxml,807,82,0.30538728535617954,0.35489405665685797,1.463107469005049,0.3899889914666438,0.8410584856143282,0.2217590663107511,0.2367127708301771
input_ff/esp04.offxml,807,82,0.4935821721152841,0.4914535039250233,1.2699145275891877,0.46171973040674213,0.7467931369230658,0.1691228597939577,0.18864288507622737
aimnet2,807,82,0.7571511745137988,0.6426676014156528,0.8129152244913971,0.5723231911426144,0.4727108032194563,,
